dates,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
2015-02-11 16:15:59+00:00,475.9100683744336,416.4601557743798,447.44174185820975,512.5005517233246,497.3305518894807,573.1817840240462,573.0974202648915,533.8298591237349,508.695751849935,511.54651621657234
2015-02-27 16:15:55+00:00,486.6290154977629,414.60244805495296,450.9240062567593,525.3333535895306,518.3592210405409,586.7605904620905,578.2010691843335,545.4502404398104,520.7258714069467,522.4270982750163
2015-03-15 16:15:44+00:00,482.5325088307155,417.0745423975348,454.34846238051335,527.212602261282,516.0178064240761,583.7188619729534,570.1875564008355,540.6398539322519,524.8442034177576,519.4526734490609
2015-04-16 16:15:31+00:00,484.6321399656301,413.8706342398405,441.116644951954,518.8703817782211,516.8385973369375,572.9661602064128,554.9329230005512,525.6455268983964,516.9342626352137,511.4443807283304
2015-05-02 16:15:20+00:00,448.1463176082272,395.53202268191353,440.2934979712657,496.1626877564174,469.74687377596206,557.0236127241863,537.4036584523361,505.4423914030156,491.8645207298589,489.3673027283352
2015-07-05 16:15:35+00:00,,396.6051215250205,429.191044573552,,,559.720936749676,,,,
2015-09-07 16:16:00+00:00,464.6491151182207,417.9695405338969,433.37953484665707,507.6774208750276,493.4509127400274,584.5368481453451,564.1471095096465,523.4803168009026,497.9155314443374,504.7787240695813
2016-01-13 16:16:13+00:00,425.30861729489067,385.1127098523247,425.4312816005295,,,549.5758482796844,542.5820995607291,502.8643837250973,527.0471855450941,494.86272978849263
2016-03-17 16:15:57+00:00,485.7377575965338,417.6472426456551,451.2158278334904,525.2446635492778,510.3943248689474,582.7041679614407,578.4606800677931,546.4168737446697,524.923814301361,514.1454206877874
2016-03-28 16:30:19+00:00,465.09618671690777,392.1543708971187,424.9653855298578,492.1565484795688,476.01705792956926,555.0889737860264,543.7369639722382,508.9527569515004,495.8430411096033,492.2022521886229
2016-04-02 16:15:47+00:00,485.1235509163996,413.1203677595935,440.90634349613634,519.916575574098,507.2312052226821,578.5151606356876,570.2730850847272,536.8291502065349,520.0454956049985,514.1131201301068
2016-04-18 16:15:42+00:00,493.9806872328121,413.6921597500002,446.66122771669694,518.0459570489501,514.0219981864041,579.0760682754893,570.8798771834016,530.5846832463731,519.5989584398183,517.2833346907455
2016-08-08 16:16:10+00:00,484.31623317223466,418.36354021169393,438.9438701794563,508.1512800271479,514.8024436347748,568.249644140411,545.4697760090475,498.6785284301161,492.9614887364449,503.6378706620644
