dates,satname,MNDWI_threshold,cloud_cover,geoaccuracy
2023-04-14 16:15:59+00:00,L9,-0.2847629604842788,0.0,6.838
2023-04-26 16:33:57+00:00,S2,-0.2456137767382946,0.0,PASSED
2023-04-30 16:15:52+00:00,L9,-0.26019807729871974,0.0,5.413
2023-05-01 16:33:56+00:00,S2,-0.33295899656359446,0.0,PASSED
2023-05-24 16:15:27+00:00,L8,-0.2659570413703812,0.0,6.067
2023-06-25 16:15:40+00:00,L8,-0.2958281474719411,0.09449743213499633,7.254
2023-07-05 16:34:01+00:00,S2,-0.3835507455644138,0.0022935779816513763,PASSED
2023-09-08 16:34:01+00:00,S2,-0.22813715875134077,0.03599643221202854,PASSED
2023-09-18 16:33:58+00:00,S2,-0.21326884744993443,0.06294597349643222,PASSED
2023-11-07 16:33:55+00:00,S2,-0.21351861912461978,0.2420998980632008,PASSED
2023-11-12 16:33:56+00:00,S2,-0.20979246599356577,0.03867227319062182,PASSED
2023-12-07 16:33:50+00:00,S2,-0.2943283976412804,0.09773190621814475,PASSED
2023-12-17 16:33:52+00:00,S2,-0.21847639933215462,0.011404179408766564,PASSED
2024-01-11 16:16:25+00:00,L9,-0.10155984298193313,0.126485693323551,6.7
2024-01-27 16:16:24+00:00,L9,-0.27341479324458523,0.0,5.871
2024-02-25 16:33:48+00:00,S2,-0.20819956399076492,0.0,PASSED
2024-02-28 16:16:17+00:00,L9,-0.22261757380150798,0.01702127659574468,5.554
2024-03-01 16:33:53+00:00,S2,-0.21977418173237862,0.0,PASSED
2024-03-06 16:33:56+00:00,S2,-0.24195823258295293,0.0,PASSED
2024-03-15 16:16:18+00:00,L9,-0.24208396880176494,0.0,5.647
2024-03-23 16:15:50+00:00,L8,-0.22035285689066114,0.031107850330154074,6.84
2024-03-31 16:16:09+00:00,L9,-0.1736123923925936,0.0,5.347
2024-03-31 16:33:55+00:00,S2,-0.15766228947252545,0.0,PASSED
2024-04-05 16:33:53+00:00,S2,-0.23891063277578817,0.012487257900101937,PASSED
2024-04-08 16:15:44+00:00,L8,-0.25896775720771215,0.0,5.311
2024-04-10 16:33:55+00:00,S2,-0.2901974768862237,0.0,PASSED
2024-04-15 16:33:58+00:00,S2,-0.23216503485062095,0.005160550458715597,PASSED
2024-04-16 16:16:00+00:00,L9,-0.18463805712351283,0.0,5.819
2024-04-24 16:15:35+00:00,L8,-0.2526167248769403,0.0,6.856
2024-04-25 16:33:57+00:00,S2,-0.3445594782747742,0.0,PASSED
2024-04-30 16:33:55+00:00,S2,-0.35486135655898876,0.0,PASSED
2024-05-02 16:15:44+00:00,L9,-0.27944446546180424,0.0,6.071
2024-05-10 16:15:24+00:00,L8,-0.25093939999930276,0.0,6.395
2024-05-10 16:33:56+00:00,S2,-0.2789782897844517,0.0,PASSED
2024-05-20 16:33:55+00:00,S2,-0.32702636718750006,0.0,PASSED
2024-05-30 16:33:56+00:00,S2,-0.29914860084236905,0.0,PASSED
2024-07-13 16:15:35+00:00,L8,-0.27986882206197206,0.029347028613352897,6.372
2024-08-03 16:33:58+00:00,S2,-0.3950034165701562,0.0,PASSED
2024-08-08 16:33:59+00:00,S2,-0.3292471199311819,0.0,PASSED
2024-09-02 16:33:55+00:00,S2,-0.21224107020918603,0.018093781855249746,PASSED
2024-09-12 16:33:53+00:00,S2,-0.28092483177909394,0.1581294597349643,PASSED
2024-10-02 16:33:57+00:00,S2,-0.24167429129991852,0.12047655453618757,PASSED
2024-10-09 16:16:02+00:00,L9,-0.3169570590487733,0.30814380044020545,6.393
2024-10-17 16:33:56+00:00,S2,-0.23111629903983594,0.19552752293577982,PASSED
2024-10-22 16:33:55+00:00,S2,-0.22849225789040034,0.03720693170234455,PASSED
2024-11-10 16:16:12+00:00,L9,-0.2866231038391481,0.0,5.276
2024-11-11 16:33:54+00:00,S2,-0.23648712934603036,0.0,PASSED
2024-11-21 16:33:55+00:00,S2,-0.2671211606160915,0.0,PASSED
2024-12-20 16:16:11+00:00,L8,-0.31528055939240696,0.14570799706529713,6.235
2025-01-05 16:16:12+00:00,L8,-0.2977767530616998,0.0,6.582
2025-01-05 16:33:56+00:00,S2,-0.32828705071886244,0.0,PASSED
2025-01-20 16:33:54+00:00,S2,-0.3008013241113031,0.0,PASSED
2025-01-30 16:34:22+00:00,S2,-0.3798016572545578,0.0,PASSED
2025-02-06 16:16:12+00:00,L8,-0.28108619153545067,0.0,5.462
2025-03-02 16:16:12+00:00,L9,-0.32182593438493673,0.0,6.96
2025-03-11 16:34:18+00:00,S2,-0.22842295715364597,0.0,PASSED
2025-03-16 16:33:58+00:00,S2,-0.27464639769898075,0.0034403669724770644,PASSED
2025-03-31 16:34:18+00:00,S2,-0.2700644644219969,0.0,PASSED
2025-04-05 16:33:56+00:00,S2,-0.2385770836965183,0.052242609582059125,PASSED
2025-04-25 16:33:56+00:00,S2,-0.3158801832952213,0.0,PASSED
2025-05-05 16:33:57+00:00,S2,-0.3164710052658362,0.014908256880733946,PASSED
2025-05-10 16:34:14+00:00,S2,-0.3199632032554014,0.0,PASSED
2025-05-13 16:15:32+00:00,L8,-0.16690484225933,0.3192956713132795,6.264
2025-05-15 16:33:56+00:00,S2,-0.2848720280642381,0.0,PASSED
2025-05-21 16:15:39+00:00,L9,-0.3495216365018011,0.0,6.554
2025-05-25 16:33:57+00:00,S2,-0.29619547600110496,0.01210499490316004,PASSED
