,dates,satname,B6,C2,C1,B4,B5,A1,A2,B1,B2,B3
184,2020-02-25 16:16:07+00:00,L8,481.02764442001245,425.1349712372347,450.0530348331434,532.0638748415354,521.5865797804569,596.5600803429062,590.4348768932869,559.1985946727747,536.9023383041163,511.8793647506358
185,2020-02-26 16:33:51+00:00,S2,482.1057161567126,426.0722488854911,455.7850755028626,538.7795829817752,531.9569077387146,596.5424283932441,587.5942761595446,560.4379844102443,541.7601798017039,517.9397160583718
186,2020-03-02 16:33:53+00:00,S2,470.8621760167457,414.5573840740128,449.34064886869163,518.3843258829676,510.917842329006,581.3513836955481,575.9483942350964,548.07172728165,521.6007022916941,504.7323792122961
187,2020-03-07 16:33:51+00:00,S2,482.51994988891045,427.48168061112807,455.28282833060416,528.2409500866944,518.8189275787988,591.7098540301605,584.9953507489929,557.3063072387134,532.3520301227979,513.8179021076791
188,2020-03-12 16:16:01+00:00,L8,497.4756472810991,429.26599055198903,451.82641496557096,541.7950511631029,542.5690227269058,586.4193367888224,586.7984185949725,569.3975560630327,560.3460297540547,533.8422617763334
189,2020-03-12 16:33:53+00:00,S2,517.5781776429036,448.1139414460571,471.27227066643354,558.284386452789,561.1688984342137,607.8919306089059,608.0500306781676,590.4657305485565,568.4889528032799,548.8236824840847
190,2020-03-17 16:33:52+00:00,S2,474.0763544006534,408.2593143047394,440.49474840007014,502.7491304567021,501.8138642676893,573.2691496789757,564.6587181384837,534.4077232309445,517.7233029569073,502.8812376279226
191,2020-03-22 16:33:53+00:00,S2,496.34559700028643,423.62737840431924,449.9938697565533,518.577321724988,517.3840458639172,581.8667826530162,576.3845353966727,549.1300549377653,534.1735869509566,515.1679247958186
192,2020-03-27 16:33:52+00:00,S2,511.00807326127574,431.16420705633925,457.3546286012838,525.4237523780123,528.2417462592005,588.6383803766894,581.7635914990261,562.1330316786252,555.438892378135,533.1718758793492
193,2020-03-28 16:15:52+00:00,L8,499.54514498972065,422.03848316402275,446.8641054535193,516.6463937019821,515.1438891990135,576.7613126789659,574.7784900332658,550.1017429922911,536.4642242642985,518.5246825388714
194,2020-04-01 16:33:53+00:00,S2,492.2177029518679,420.05730603279085,446.3692365128352,510.7227689903857,508.0034225070023,576.4579703739151,567.8108702767584,539.6920679945899,524.8095019530247,515.0819953127021
