date,Hs_max,Tp,MeanDir
2000-10-05,2.0447998,16.928566,194.69063
2000-10-06,1.8060303,14.705421,199.91501
2000-10-07,2.0664062,16.534523,200.77689
2000-10-08,2.346963,14.765968,197.66939
2000-10-09,2.3190918,14.630714,197.59933
2000-10-10,2.0925293,13.459572,193.325
2000-10-11,1.8914795,12.656593,186.7826
2000-10-12,1.6800537,9.497414,175.90671
2000-10-13,1.7251663,9.602394,176.34111
2000-10-14,1.7307014,9.537453,177.5722
2000-10-15,1.7386475,13.784523,177.76009
2000-10-16,1.8140869,14.399757,178.25401
2000-10-17,1.8100586,14.378761,178.48438
2000-10-18,1.6925049,13.215187,181.32883
2000-10-19,1.6269531,12.206398,181.54004
2000-10-20,1.4718018,13.315285,184.68341
2000-10-21,1.6628971,14.798683,186.82236
2000-10-22,1.6586914,14.4207535,190.2251
2000-10-23,1.6092529,13.251808,188.32364
2000-10-24,1.7479305,13.308937,190.10564
2000-10-25,1.7062988,12.475929,189.83618
2000-10-26,1.7121582,11.527687,183.0587
2000-10-27,1.6929932,14.546242,185.00473
2000-10-28,1.7422361,17.932472,193.32864
2000-10-29,1.7365723,17.800148,194.63887
2000-10-30,1.7124023,16.011086,204.5101
2000-10-31,1.623169,13.868996,210.98167
2000-11-01,1.9873047,13.218605,207.438
2000-11-02,1.9798584,13.114113,207.79886
2000-11-03,1.8513184,15.939308,212.55486
2000-11-04,1.9465332,14.691505,214.25499
2000-11-05,1.9602098,14.584816,210.57812
2000-11-06,1.6947956,13.572609,194.44533
2000-11-07,2.0226707,16.508644,196.65024
2000-11-08,2.1989746,15.808449,196.47124
2000-11-09,2.0368652,14.555031,196.08153
2000-11-10,1.6939697,12.952492,191.14941
2000-11-11,1.6865234,16.550636,199.047
2000-11-12,1.8721924,14.854347,202.69798
2000-11-13,1.869751,14.814308,202.71898
2000-11-14,1.6166992,13.432472,201.1797
2000-11-15,1.5200195,12.980324,187.05235
2000-11-16,1.4420166,12.243996,176.81427
2000-11-17,1.4425049,8.351906,177.19365
2000-11-18,1.4886475,14.347023,184.57732
2000-11-19,1.4956055,16.067726,184.85199
2000-11-20,1.5101318,12.385109,198.71045
2000-11-21,1.484375,12.62925,207.53796
2000-11-22,1.3911943,14.6517105,228.24388
2000-11-23,1.3702393,14.488625,237.86609
2000-11-27,1.7064209,19.1605,236.08058
2000-11-28,1.8043213,17.679054,238.07864
2000-11-30,1.7540283,15.525734,239.8447
2000-12-03,1.7580566,14.158058,239.65652
2000-12-04,1.6730957,13.141457,227.48764
2000-12-05,1.542985,10.572609,238.20468
2000-12-08,1.5936279,13.306007,207.32825
2000-12-09,1.591919,13.026222,199.07108
2000-12-10,1.71352,13.891457,203.38335
2000-12-11,1.6394043,13.203468,204.13904
2000-12-12,1.5973444,11.869484,219.00838
2000-12-13,1.5708008,14.890968,191.91179
2000-12-14,1.7293701,14.249367,194.71541
2000-12-15,1.7073975,13.4520035,196.74463
2000-12-16,1.5737305,13.347023,193.68727
2000-12-17,1.6193352,13.382179,197.64246
2000-12-18,1.5352783,12.704933,199.54816
2000-12-19,1.3769531,11.922218,200.57837
2000-12-20,1.4255371,17.931984,237.93983
2000-12-23,1.4550781,14.516457,239.89346
2000-12-24,1.3748779,13.024757,216.44576
2000-12-25,1.3718262,12.505714,216.89882
2000-12-26,1.3880864,18.19175,239.70009
2000-12-30,1.8510742,13.396339,238.7906
2001-01-08,1.4023438,13.582375,228.30464
2001-01-09,1.5710449,13.093605,202.50075
2001-01-10,1.7272806,12.647804,200.61833
2001-01-11,1.7944336,13.2923355,216.25829
2001-01-12,1.7591553,12.872902,224.5299
2001-01-15,1.449707,12.760109,239.24222
2001-01-19,1.7596436,15.934914,239.33037
2001-01-20,1.7406006,14.962257,231.59683
2001-01-21,1.5963135,12.317238,223.02106
2001-01-27,1.7960205,14.091652,239.97867
2001-01-28,1.7602539,13.541847,237.15614
2001-01-29,1.6582031,13.014015,226.48294
2001-01-30,1.5775146,12.971535,236.49396
2001-01-31,1.5906982,12.9188,239.49394
2001-02-01,1.6287842,15.070168,239.68825
2001-02-02,1.6253357,14.9173355,238.7501
2001-02-03,1.7335205,13.612648,199.81567
2001-02-04,1.7386475,13.551613,199.74828
2001-02-05,1.5812988,12.784035,201.6431
2001-02-06,1.3913574,11.276222,208.12335
2001-02-07,1.3253174,17.675636,239.72707
2001-02-08,1.4195557,14.031105,238.34674
2001-02-09,1.4171143,13.74839,235.45963
2001-02-10,1.2670081,11.769875,208.82886
2001-02-11,1.366333,17.610695,194.24875
2001-02-12,1.5574093,16.085793,194.17218
2001-02-13,1.7734375,13.339699,196.98715
2001-02-14,1.7960205,13.0355,199.07355
2001-02-15,1.7703857,12.32798,200.29747
2001-02-16,1.8747559,15.431007,203.4237
2001-02-17,1.8979492,14.990089,204.48604
2001-02-18,1.7878418,14.071632,204.56892
2001-02-19,1.6325684,12.976906,202.1674
2001-02-20,1.7250977,10.839699,223.521
2001-02-21,1.7442045,15.897316,220.3438
2001-02-22,1.6573486,14.375832,215.14857
2001-02-23,1.4801025,14.299171,215.76802
2001-02-24,1.6008301,13.756691,229.67395
2001-02-25,1.6333008,13.790871,239.25899
2001-02-27,2.0390625,15.097023,223.05519
2001-02-28,2.0360107,14.52964,218.47437
2001-03-01,1.9138184,14.390968,217.87547
2001-03-02,1.9102783,16.953468,215.22675
2001-03-03,2.166193,15.855324,206.79257
2001-03-04,2.2053223,14.683449,204.08618
2001-03-05,2.006836,13.526222,208.36728
2001-03-06,1.6691895,12.224953,213.19852
2001-03-07,1.7087135,13.908546,239.93071
2001-03-08,1.8049316,13.333351,234.94168
2001-03-09,1.8018799,13.277199,231.65027
2001-03-10,1.6933908,12.288429,216.8283
2001-03-11,1.6506348,12.04966,234.24287
2001-03-14,1.748169,13.888039,233.24297
2001-03-15,1.9712734,17.67759,220.8341
2001-03-16,2.0184278,16.254738,216.3022
2001-03-17,2.0445557,14.954445,220.98471
2001-03-18,2.1790771,14.621925,215.92996
2001-03-19,2.1805716,14.580421,215.74371
2001-03-20,1.8706055,13.024269,221.53242
2001-03-21,1.7513428,13.053566,218.91808
2001-03-22,1.7211914,13.683937,207.51576
2001-03-23,1.9324951,16.542336,205.06555
2001-03-24,1.9909668,14.775246,189.77757
2001-03-25,1.9943848,14.570656,188.44661
2001-03-26,2.0949707,18.45591,202.01974
2001-03-27,2.3117676,16.074562,204.68942
2001-03-28,2.3691397,15.353371,203.94066
2001-03-29,2.5056152,18.08677,202.55179
2001-03-30,2.4316406,17.311378,203.05489
2001-03-31,2.263794,15.597023,209.9319
2001-04-01,2.1750488,14.693214,211.48755
2001-04-02,2.0101318,13.908546,206.47804
2001-04-03,1.809082,14.239601,203.47992
2001-04-04,1.6265869,13.361183,197.27449
2001-04-05,1.3745117,11.833839,185.66893
2001-04-06,1.5006104,11.112648,187.64131
