peak_datetime,Hs_offshore (m),Tp (s),Dir (deg),Hs_nearshore (m),R2_A1,R2_A2,R2_B1,R2_B2,R2_B3,R2_B4,R2_B5,R2_B6,R2_C1,R2_C2,setup_A1,setup_A2,setup_B1,setup_B2,setup_B3,setup_B4,setup_B5,setup_B6,setup_C1,setup_C2,S_total_A1,S_total_A2,S_total_B1,S_total_B2,S_total_B3,S_total_B4,S_total_B5,S_total_B6,S_total_C1,S_total_C2
1990-02-20 00:00:00,1.340087890625,12.147804260253906,212.15643310546875,0.9397100851307914,0.92273736,0.83513707,0.79314643,0.83513707,0.83513707,0.79314643,0.7524838,0.83513707,1.0145743,0.79314643,0.28325006,0.23175006,0.20600006,0.23175006,0.23175006,0.20600006,0.18025005,0.23175006,0.3347501,0.20600006,1.0713743,1.0129442,0.98706454,1.0129442,1.0129442,0.98706454,0.96365255,1.0129442,1.1375357,0.98706454
1990-02-21 23:00:00,1.287353515625,16.275245666503906,221.25567626953125,0.7797513465532026,1.1261312,1.0192217,0.9679753,1.0192217,1.0192217,0.9679753,0.91834956,1.0192217,1.2382113,0.9679753,0.3456853,0.28283343,0.2514075,0.28283343,0.28283343,0.2514075,0.21998157,0.28283343,0.40853718,0.2514075,1.3075314,1.2362218,1.2046376,1.2362218,1.2362218,1.2046376,1.1760651,1.2362218,1.3882763,1.2046376
1990-02-22 23:00:00,1.4737548828125,15.020851135253906,222.3446044921875,0.8159239280479058,1.0631701,0.9622378,0.91385657,0.9622378,0.9622378,0.91385657,0.86700535,0.9622378,1.1689838,0.91385657,0.32635832,0.26702043,0.2373515,0.26702043,0.26702043,0.2373515,0.20768256,0.26702043,0.3856962,0.2373515,1.2344284,1.1671057,1.1372874,1.1671057,1.1671057,1.1372874,1.1103122,1.1671057,1.3106589,1.1372874
1990-02-23 23:00:00,1.78369140625,14.491554260253906,209.41761779785156,1.3649084566667034,1.3266308,1.2006869,1.1403165,1.2006869,1.2006869,1.1403165,1.0818552,1.2006869,1.458666,1.1403165,0.40723214,0.33318993,0.29616883,0.33318993,0.33318993,0.29616883,0.2591477,0.33318993,0.48127434,0.29616883,1.5403281,1.4563223,1.4191148,1.4563223,1.4563223,1.4191148,1.3854553,1.4563223,1.635449,1.4191148
1990-02-24 23:00:00,2.0655517578125,17.491065979003906,205.6085662841797,1.6691570616843634,1.7707133,1.6026102,1.5220312,1.6026102,1.6026102,1.5220312,1.4440004,1.6026102,1.9469465,1.5220312,0.54355085,0.44472343,0.39530972,0.44472343,0.44472343,0.39530972,0.345896,0.44472343,0.6423783,0.39530972,2.0559444,1.9438183,1.8941559,1.9438183,1.9438183,1.8941559,1.8492287,1.9438183,2.1829066,1.8941559
1990-02-25 23:00:00,2.2667236328125,16.006202697753906,207.7952880859375,1.7376654409124968,1.6533117,1.4963543,1.4211177,1.4963543,1.4963543,1.4211177,1.3482605,1.4963543,1.8178604,1.4211177,0.50751245,0.41523746,0.36909997,0.41523746,0.41523746,0.36909997,0.32296246,0.41523746,0.5997874,0.36909997,1.9196317,1.8149396,1.7685698,1.8149396,1.8149396,1.7685698,1.7266215,1.8149396,2.038176,1.7685698
1990-02-26 16:00:00,2.4188232421875,14.920753479003906,211.2521209716797,1.7236115604237157,1.5349486,1.3892279,1.3193777,1.3892279,1.3892279,1.3193777,1.2517364,1.3892279,1.6877168,1.3193777,0.47117883,0.38550994,0.3426755,0.38550994,0.38550994,0.3426755,0.29984108,0.38550994,0.5568477,0.3426755,1.7822021,1.6850052,1.6419551,1.6850052,1.6850052,1.6419551,1.6030099,1.6850052,1.8922597,1.6419551
1990-02-27 00:00:00,2.375,14.653175354003906,213.25991821289062,1.6382691577170074,1.469629,1.3301096,1.2632318,1.3301096,1.3301096,1.2632318,1.1984689,1.3301096,1.6158963,1.2632318,0.4511279,0.36910462,0.32809302,0.36910462,0.36910462,0.32809302,0.2870814,0.36910462,0.53315115,0.32809302,1.7063609,1.6133001,1.572082,1.6133001,1.6133001,1.572082,1.5347941,1.6133001,1.811735,1.572082
1990-02-28 00:00:00,2.0577526092529297,13.479347229003906,209.78482055664062,1.494145028952627,1.2910665,1.1684988,1.1097468,1.1684988,1.1684988,1.1097468,1.0528527,1.1684988,1.419562,1.1097468,0.39631504,0.32425776,0.2882291,0.32425776,0.32425776,0.2882291,0.25220048,0.32425776,0.46837232,0.2882291,1.4990349,1.4172812,1.3810712,1.4172812,1.4172812,1.3810712,1.3483138,1.4172812,1.5916059,1.3810712
1990-03-01 00:00:00,1.7197265625,12.605812072753906,204.78140258789062,1.2392812772595014,1.0996112,0.99521935,0.9451798,0.99521935,0.99521935,0.9451798,0.89672273,0.99521935,1.2090518,0.9451798,0.33754453,0.2761728,0.24548693,0.2761728,0.2761728,0.24548693,0.21480106,0.2761728,0.39891627,0.24548693,1.2767395,1.2071092,1.1762688,1.2071092,1.2071092,1.1762688,1.1483692,1.2071092,1.3555828,1.1762688
1990-03-02 00:00:00,1.5189208984375,12.651222229003906,199.7622528076172,1.090262764415995,1.035098,0.9368307,0.88972694,0.9368307,0.9368307,0.88972694,0.8441128,0.9368307,1.1381178,0.88972694,0.3177411,0.25996998,0.23108442,0.25996998,0.25996998,0.23108442,0.20219888,0.25996998,0.37551218,0.23108442,1.2018343,1.1362891,1.1072582,1.1362891,1.1362891,1.1072582,1.0809953,1.1362891,1.276052,1.1072582
1990-03-03 23:00:00,1.56591796875,12.955421447753906,196.02407836914062,1.1394255726208786,1.0836222,0.9807483,0.93143636,0.9807483,0.9807483,0.93143636,0.8836839,0.9807483,1.1914715,0.93143636,0.33263645,0.2721571,0.24191742,0.2721571,0.2721571,0.24191742,0.21167773,0.2721571,0.3931158,0.24191742,1.258175,1.1895572,1.1591653,1.1895572,1.1895572,1.1591653,1.1316713,1.1895572,1.3358719,1.1591653
1990-03-04 19:00:00,1.6292724609375,12.292579650878906,195.3042755126953,1.1539133231048002,1.0346966,0.9364674,0.8893819,0.9364674,0.9364674,0.8893819,0.84378546,0.9364674,1.1376765,0.8893819,0.31761786,0.25986916,0.23099482,0.25986916,0.25986916,0.23099482,0.20212047,0.25986916,0.37536657,0.23099482,1.2013682,1.1358485,1.1068288,1.1358485,1.1358485,1.1068288,1.0805762,1.1358485,1.2755572,1.1068288
1990-03-05 00:00:00,1.619140625,12.248390197753906,196.20814514160156,1.143764503511771,1.0264332,0.9289885,0.8822791,0.9289885,0.9289885,0.8822791,0.8370468,0.9289885,1.1285907,0.8822791,0.3150813,0.25779378,0.22915003,0.25779378,0.25779378,0.22915003,0.20050628,0.25779378,0.3723688,0.22915003,1.1917738,1.1267773,1.0979894,1.1267773,1.1267773,1.0979894,1.0719464,1.1267773,1.2653702,1.0979894
